Time,Male,Female,Total
昭和47年,"6469","6767","13236"
昭和48年,"6585","6865","13450"
昭和49年,"6828","7095","13923"
昭和50年,"7155","7436","14591"
昭和51年,"7445","7675","15120"
昭和52年,"7650","7879","15529"
昭和53年,"7824","8097","15921"
昭和54年,"8233","8417","16650"
昭和55年,"8671","8849","17520"
昭和56年,"9015","9163","18178"
昭和57年,"9251","9439","18690"
昭和58年,"9452","9661","19113"
昭和59年,"9739","9971","19710"
昭和60年,"10002","10238","20240"
昭和61年,"10279","10542","20821"
昭和62年,"10640","10854","21494"
昭和63年,"10946","11176","22122"
平成1年,"11381","11543","22924"
平成2年,"11793","11905","23698"
平成3年,"12558","12600","25158"
平成4年,"13748","13720","27468"
平成5年,"14745","14805","29550"
平成6年,"15741","15815","31556"
平成7年,"16623","16611","33234"
平成8年,"17210","17182","34392"
平成9年,"17684","17827","35511"
平成10年,"18076","18247","36323"
平成11年,"18350","18523","36873"
平成12年,"18547","18682","37229"
平成13年,"18699","18845","37544"
平成14年,"18739","18908","37647"
平成15年,"18797","19053","37850"
平成16年,"18952","19264","38216"
平成17年,"18978","19276","38254"
平成18年,"18970","19278","38248"
平成19年,"18941","19138","38079"
平成20年,"18870","19078","37948"
平成21年,"18793","19071","37864"
平成22年,"18761","19017","37778"
平成23年,"18709","18838","37547"
平成24年,"18565","18847","37412"
平成25年,"18486","18712","37198"
平成26年,"18404","18697","37101"
平成27年,"18313","18561","36874"
平成28年,"18213","18583","36796"
